circuit_id,roc_auc,brier,n
Barcelona,1.0,0.02065059170126915,20
Jeddah,1.0,0.04146784916520119,20
Mexico City,1.0,0.0718318298459053,20
Marina Bay,1.0,0.020296473056077957,20
Suzuka,1.0,0.03391726687550545,20
Sakhir,1.0,0.03417519852519035,20
Las Vegas,0.99,0.05858517810702324,20
Budapest,0.99,0.04403745383024216,20
Yas Island,0.99,0.05873977020382881,20
Monza,0.99,0.05373699218034744,20
Zandvoort,0.9800000000000001,0.09770626574754715,20
Imola,0.98,0.05668175220489502,20
Austin,0.9700000000000001,0.06837660074234009,20
Shanghai,0.9700000000000001,0.07813876867294312,20
São Paulo,0.97,0.07383072376251221,20
Monaco,0.97,0.11208526045084,20
Montréal,0.9500000000000001,0.09537504613399506,20
Lusail,0.92,0.12279178947210312,20
Miami,0.92,0.13027207553386688,20
Spa-Francorchamps,0.89,0.09511356800794601,20
Spielberg,0.8600000000000001,0.16718646883964539,20
Silverstone,0.83,0.15127219259738922,20
Melbourne,0.8,0.21706390380859375,19
Baku,0.7999999999999999,0.16163618862628937,20
