season,round,race_name,driver_code,team_name,prob_top10,finish_position_clean
2024,17,Azerbaijan Grand Prix,PER,Red Bull Racing,0.9558176,17.0
2024,14,Belgian Grand Prix,RUS,Mercedes,0.954621,20.0
2024,17,Azerbaijan Grand Prix,SAI,Ferrari,0.9504232,18.0
2024,11,Austrian Grand Prix,NOR,McLaren,0.9381697,20.0
2024,6,Miami Grand Prix,PIA,McLaren,0.9258282,13.0
2024,12,British Grand Prix,LEC,Ferrari,0.88245386,14.0
2024,11,Austrian Grand Prix,LEC,Ferrari,0.8672402,11.0
2024,3,Australian Grand Prix,RUS,Mercedes,0.8299641,17.0
2024,15,Dutch Grand Prix,STR,Aston Martin,0.8291432,13.0
2024,12,British Grand Prix,RUS,Mercedes,0.8084346,19.0
2024,15,Dutch Grand Prix,RIC,RB,0.74513066,12.0
2024,9,Canadian Grand Prix,TSU,RB,0.7356913,14.0
2024,23,Qatar Grand Prix,PER,Red Bull Racing,0.7116363,17.0
2024,23,Qatar Grand Prix,HAM,Mercedes,0.7060454,12.0
2024,15,Dutch Grand Prix,HUL,Haas F1 Team,0.70215046,11.0
