,mean_abs_shap
lap_time_vs_field_pct,1.7262504
num_pit_stops,0.30416855
quali_position,0.29413626
team_dnf_rate_L10,0.17133664
team_avg_finish_L5,0.16550948
sector_consistency,0.1358729
deg_slope,0.13504466
quali_gap_to_pole_ms,0.111673415
num_stints,0.11099241
driver_experience,0.06835693
air_temp_mean,0.068004824
round_number,0.064514
track_temp_mean,0.060377747
starting_compound_enc,0.05782368
median_clean_lap_ms,0.057237342
driver_circuit_avg_finish,0.0490376
driver_points_L5,0.04749021
team_points_L5,0.043563366
driver_avg_finish_L5,0.04255738
quali_position_vs_team,0.042543724
driver_avg_finish_L10,0.037387297
driver_dnf_rate_L10,0.034069717
rainfall,0.01612326
season_stage,0.001714405
team_avg_pit_time_ms,0.0
